Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
1.92E+01	9.30E+01	1063764225.466300	4.65E+01	9.30E+01	1063764225.466300	4.65E+01	9.30E+01	1063764225.466300
9.67E-01	2.70E+02	1086388860.371400	7.33E+02	2.70E+02	1086388860.371400	7.33E+02	2.70E+02	1086388860.371400
1.73E-04	1.64E+03	1142331174.444500	2.77E+02	1.64E+03	1142331174.444500	2.77E+02	1.64E+03	1142331174.444500
2.35E+02	8.15E+03	1172526553.500500	6.60E+03	8.15E+03	1172526553.500500	6.60E+03	8.15E+03	1172526553.500500
5.42E-01	1.56E+04	1216278043.703200	8.43E+04	1.56E+04	1216278043.703200	8.43E+04	1.56E+04	1216278043.703200
5.27E+04	4.06E+03	1260791890.250800	4.66E+04	4.06E+03	1260791890.250800	4.66E+04	4.06E+03	1260791890.250800
2.01E+04	6.54E+03	1295594742.730300	3.73E+05	6.54E+03	1295594742.730300	3.73E+05	6.54E+03	1295594742.730300
1.78E-03	2.25E+03	1384428530.070000	1.23E+03	2.25E+03	1384428530.070000	1.23E+03	2.25E+03	1384428530.070000
2.41E+02	9.44E+02	1437858395.073700	3.74E+04	9.44E+02	1437858395.073700	3.74E+04	9.44E+02	1437858395.073700
7.30E-06	4.80E+03	1454714547.605300	5.39E+02	4.80E+03	1454714547.605300	5.39E+02	4.80E+03	1454714547.605300
1.35E+00	1.08E+04	1499932205.903300	2.67E+05	1.08E+04	1499932205.903300	2.67E+05	1.08E+04	1499932205.903300
9.87E-02	1.23E+00	1502416772.172100	1.17E+01	1.23E+00	1502416772.172100	1.17E+01	1.23E+00	1502416772.172100
7.50E+01	1.20E+02	1512713484.289900	2.13E+02	1.20E+02	1512713484.289900	2.13E+02	1.20E+02	1512713484.289900
6.32E-01	1.12E+02	1515941169.125800	2.65E+02	1.12E+02	1515941169.125800	2.65E+02	1.12E+02	1515941169.125800
1.83E+01	2.87E+02	1552804116.837900	1.05E+04	2.87E+02	1552804116.837900	1.05E+04	2.87E+02	1552804116.837900
2.12E+04	2.73E+03	1585197553.861100	1.31E+04	2.73E+03	1585197553.861100	1.31E+04	2.73E+03	1585197553.861100
1.44E+03	1.64E+03	1618604189.925400	7.59E+02	1.64E+03	1618604189.925400	7.59E+02	1.64E+03	1618604189.925400
7.66E-01	2.26E+03	1620558842.702300	1.44E+04	2.26E+03	1620558842.702300	1.44E+04	2.26E+03	1620558842.702300
6.65E+03	3.69E+04	1640505337.394200	6.98E+04	3.69E+04	1640505337.394200	6.98E+04	3.69E+04	1640505337.394200
4.54E-01	2.42E+04	1659980730.756100	3.14E+05	2.42E+04	1659980730.756100	3.14E+05	2.42E+04	1659980730.756100
4.13E+02	3.12E+05	1664604618.068700	3.13E+04	3.12E+05	1664604618.068700	3.13E+04	3.12E+05	1664604618.068700
1.96E+01	3.55E+04	1664752777.380200	1.73E+04	3.55E+04	1664752777.380200	1.73E+04	3.55E+04	1664752777.380200
3.31E+03	6.41E+05	1664853298.461300	1.82E+04	6.41E+05	1664853298.461300	1.82E+04	6.41E+05	1664853298.461300
2.63E+00	2.82E+03	1666296950.743500	4.50E+03	2.82E+03	1666296950.743500	4.50E+03	2.82E+03	1666296950.743500
2.16E+04	6.07E+03	1666530153.079400	6.35E+03	6.07E+03	1666530153.079400	6.35E+03	6.07E+03	1666530153.079400
9.22E+02	1.65E+03	1685058297.945500	3.52E+02	1.65E+03	1685058297.945500	3.52E+02	1.65E+03	1685058297.945500
1.55E-01	4.94E+03	1742516735.805800	4.25E+04	4.94E+03	1742516735.805800	4.25E+04	4.94E+03	1742516735.805800
4.24E+02	5.80E+03	1746212427.989800	2.57E+05	5.80E+03	1746212427.989800	2.57E+05	5.80E+03	1746212427.989800
5.91E-01	2.79E+04	1749750354.984200	7.05E+04	2.79E+04	1749750354.984200	7.05E+04	2.79E+04	1749750354.984200
1.12E+03	4.16E+06	1754386476.849900	1.81E+08	4.16E+06	1754386476.849900	1.81E+08	4.16E+06	1754386476.849900
5.98E+04	1.51E+04	1789287371.961600	9.79E+04	1.51E+04	1789287371.961600	9.79E+04	1.51E+04	1789287371.961600
1.26E+02	6.75E+04	1832589118.926500	2.57E+04	6.75E+04	1832589118.926500	2.57E+04	6.75E+04	1832589118.926500
7.76E+02	9.99E+03	1840913239.695500	3.34E+05	9.99E+03	1840913239.695500	3.34E+05	9.99E+03	1840913239.695500
2.39E+00	2.64E+04	1856092387.307500	4.17E+05	2.64E+04	1856092387.307500	4.17E+05	2.64E+04	1856092387.307500
1.46E+04	8.82E+04	1856670840.637600	1.56E+06	8.82E+04	1856670840.637600	1.56E+06	8.82E+04	1856670840.637600
1.60E+04	5.89E+03	1895201636.702400	2.11E+04	5.89E+03	1895201636.702400	2.11E+04	5.89E+03	1895201636.702400
1.15E+00	1.02E+05	1921463692.611500	1.85E+06	1.02E+05	1921463692.611500	1.85E+06	1.02E+05	1921463692.611500
3.99E-02	4.53E+03	1949189392.925800	8.59E+04	4.53E+03	1949189392.925800	8.59E+04	4.53E+03	1949189392.925800
3.17E+04	7.89E+03	1954795878.753600	3.48E+04	7.89E+03	1954795878.753600	3.48E+04	7.89E+03	1954795878.753600
3.43E+00	5.44E+04	1962251763.947900	1.15E+05	5.44E+04	1962251763.947900	1.15E+05	5.44E+04	1962251763.947900

