Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
16.0330709847	360.74	1072698798.0132	1.71E+01	360.74	1072698798.0132	4.14E+03	360.74	1072698798.0132
0.0094780021	2063.58	1101799487.1206	4.34E+03	2063.58	1101799487.1206	2.92E-01	2063.58	1101799487.1206
757.2827980024	9889.32	1104758564.965	3.75E+01	9889.32	1104758564.965	4.24E+03	9889.32	1104758564.965
233.0458568986	1.67E+04	1108393051.1793	147.5255776621	1.67E+04	1108393051.1793	6220.1989970446	1.67E+04	1108393051.1793
0.0022615451	4468.0760373665	1143191899.9881	905.8538404508	4468.0760373665	1143191899.9881	19.1519094285	4468.0760373665	1143191899.9881
0.0036783566	0.1352044387	1172523098.7197	0.0006249497	0.1352044387	1172523098.7197	0.2257856431	0.1352044387	1172523098.7197
0.0842447207	7274.450219281	1216225426.4139	7.80E+04	7274.450219281	1216225426.4139	26.9403344424	7274.450219281	1216225426.4139
21.9633699248	1.7036193186	1260537215.2375	0.5400698535	1.7036193186	1260537215.2375	39.6492366932	1.7036193186	1260537215.2375
5.3615482026	1.7058783804	1295387346.0126	0.0687915568	1.7058783804	1295387346.0126	194.4433808865	1.7058783804	1295387346.0126
0.0019097192	2349.7913331432	1383588871.3973	2693.0926022919	2349.7913331432	1383588871.3973	5.8863148084	2349.7913331432	1383588871.3973
266.9131005142	904.9357368935	1435874760.9648	23.7697035014	904.9357368935	1435874760.9648	6.96E+04	904.9357368935	1435874760.9648
0.0023121922	4332.7969198842	1454262852.3796	990.7747546052	4332.7969198842	1454262852.3796	16.5366875946	4332.7969198842	1454262852.3796
18.2443518832	207.9619093624	1494532689.0762	4.3064320769	207.9619093624	1494532689.0762	3165.4186694713	207.9619093624	1494532689.0762
15.3211615496	2491.5556230821	1499038530.0071	1.02E+05	2491.5556230821	1499038530.0071	36.1493336445	2491.5556230821	1499038530.0071
95.9916749026	180.7326225862	1503380587.2783	3.358996363	180.7326225862	1503380587.2783	901.2117174197	180.7326225862	1503380587.2783
0.1114583277	178.8515508589	1506404323.4339	874.1784590216	178.8515508589	1506404323.4339	0.8680675055	178.8515508589	1506404323.4339
0.0705085706	0.5165902313	1509545196.586	10.1025333805	0.5165902313	1509545196.586	0.0663171946	0.5165902313	1509545196.586
42.2810419884	574.2320881138	1550989382.2924	3.3067010383	574.2320881138	1550989382.2924	4.53E+04	574.2320881138	1550989382.2924
4.15E+04	5310.6053317619	1585119540.0388	2665.1629871228	5310.6053317619	1585119540.0388	4.56E+04	5310.6053317619	1585119540.0388
2124.9503895875	2705.4339814093	1618335487.6599	671.6320947476	2705.4339814093	1618335487.6599	2083.9666727051	2705.4339814093	1618335487.6599
79.2342071217	3535.060296945	1620210066.9532	3.95E+04	3535.060296945	1620210066.9532	120.4963981739	3535.060296945	1620210066.9532
5.18E+04	2.64E+05	1638264165.668	3837.591928515	2.64E+05	1638264165.668	1.00E+06	2.64E+05	1638264165.668
9.7577555101	1.80E+04	1659613657.0706	5.33E+05	1.80E+04	1659613657.0706	136.3925625979	1.80E+04	1659613657.0706
1199.1836306763	3.80E+05	1662552047.9685	1462.4577095065	3.80E+05	1662552047.9685	1072.29383592	3.80E+05	1662552047.9685
23.7871542259	8.45E+04	1662679405.0905	9.02E+04	8.45E+04	1662679405.0905	52.8301045852	8.45E+04	1662679405.0905
4679.7795680228	1.99E+05	1663719724.1093	3236.5056098174	1.99E+05	1663719724.1093	1707.8312087282	1.99E+05	1663719724.1093
123.2102553298	5898.1628341055	1664812419.6075	8722.8806483803	5898.1628341055	1664812419.6075	136.618365182	5898.1628341055	1664812419.6075
3.69E+04	1.05E+04	1665831576.9918	474.628185911	1.05E+04	1665831576.9918	1.47E+04	1.05E+04	1665831576.9918
1875.886785462	3087.9261565095	1683879605.0452	155.677377835	3087.9261565095	1683879605.0452	1414.7151219046	3087.9261565095	1683879605.0452
0.2955361791	7716.1956419008	1742398540.5344	1.34E+05	7716.1956419008	1742398540.5344	55.3177811871	7716.1956419008	1742398540.5344
731.2194970258	1.01E+04	1746077161.2823	20.5809814503	1.01E+04	1746077161.2823	9.05E+05	1.01E+04	1746077161.2823
1.055335544	3.60E+04	1749683474.3604	1.76E+05	3.60E+04	1749683474.3604	284.9350266523	3.60E+04	1749683474.3604
1.865981637	9414.2407726043	1754381875.4875	8.19E+05	9414.2407726043	1754381875.4875	53.9828040398	9414.2407726043	1754381875.4875
9.26E+04	2.33E+04	1789259755.2587	1928.9831805206	2.33E+04	1789259755.2587	2.96E+05	2.33E+04	1789259755.2587
207.157475353	1.03E+05	1832441781.9743	1187.7806453469	1.03E+05	1832441781.9743	6.55E+04	1.03E+05	1832441781.9743
1156.7002376826	1.46E+04	1840933532.7315	732.779013922	1.46E+04	1840933532.7315	9.93E+05	1.46E+04	1840933532.7315
3.2669782963	1.66E+04	1856187205.1148	5.36E+05	1.66E+04	1856187205.1148	203.42489424	1.66E+04	1856187205.1148
1.97E+04	1.21E+05	1856722031.4344	5272.347782459	1.21E+05	1856722031.4344	4.12E+06	1.21E+05	1856722031.4344
2.10E+04	7819.3880072026	1895020889.4169	1790.0426614896	7819.3880072026	1895020889.4169	5.10E+04	7819.3880072026	1895020889.4169
0.1471671125	7.15E+04	1921395176.8786	2.65E+06	7.15E+04	1921395176.8786	75.086672053	7.15E+04	1921395176.8786
0.0480079708	5106.4128253104	1947592158.8376	1.87E+05	5106.4128253104	1947592158.8376	24.9696635274	5106.4128253104	1947592158.8376
3.26E+04	8358.327421942	1953484094.5165	819.8010217198	8358.327421942	1953484094.5165	7.85E+04	8358.327421942	1953484094.5165
1.6436971405	5.79E+04	1961918672.7712	2.69E+05	5.79E+04	1961918672.7712	454.7151125217	5.79E+04	1961918672.7712
23.2158740567	3216.6004315014	1975305797.6864	28.7927628514	3216.6004315014	1975305797.6864	470.0371850988	3216.6004315014	1975305797.6864
6.60E-05	4.4571362464	1975922848.3341	304.5959330782	4.4571362464	1975922848.3341	0.0213198526	4.4571362464	1975922848.3341
228.5542727086	1559.4755482975	1977186779.5515	9.9308990755	1559.4755482975	1977186779.5515	341.4301799591	1559.4755482975	1977186779.5515
0.1488405685	5253.197803952	1979382992.4556	1.10E+05	5253.197803952	1979382992.4556	11.5365549604	5253.197803952	1979382992.4556
