Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
727.9681454729	9.95E+03	1746232797.445	4.3831972989	9.95E+03	1746232797.445	8.82E+05	9.95E+03	1746232797.445
1.9891068	4.79E+04	1749756988.6067	2.48E+05	4.79E+04	1749756988.6067	152.0039331722	4.79E+04	1749756988.6067
1926.6298128872	7.27E+06	1754406452.0646	6.34E+08	7.27E+06	1754406452.0646	1.17E+04	7.27E+06	1754406452.0646
9.53E+04	2.40E+04	1789309773.3363	2019.425023571	2.40E+04	1789309773.3363	3.01E+05	2.40E+04	1789309773.3363
200.6882329026	1.04E+05	1832591378.2477	48.3326594867	1.04E+05	1832591378.2477	6.85E+04	1.04E+05	1832591378.2477
1168.1855614894	1.48E+04	1840936027.2525	412.7354914734	1.48E+04	1840936027.2525	9.89E+05	1.48E+04	1840936027.2525
3.1983999158	3.90E+04	1856099099.4809	1.23E+06	3.90E+04	1856099099.4809	6.61E+01	3.90E+04	1856099099.4809
2.15E+04	1.29E+05	1856671537.5952	7256.7059995685	1.29E+05	1856671537.5952	4.57E+06	1.29E+05	1856671537.5952
2.14E+04	7.98E+03	1895073766.114	2042.4266189396	7.98E+03	1895073766.114	5.57E+04	7.98E+03	1895073766.114
0.9037412844	1.30E+05	1921438491.0655	4.73E+06	1.30E+05	1921438491.0655	2.53E+02	1.30E+05	1921438491.0655
0.0982511902	5.31E+03	1947861936.0026	1.93E+05	5.31E+03	1947861936.0026	17.9552780115	5.31E+03	1947861936.0026
3.48E+04	8.85E+03	1953689817.4495	760.9400639705	8.85E+03	1953689817.4495	8.08E+04	8.85E+03	1953689817.4495
1.9185587645	5.96E+04	1962066567.2072	3.00E+05	5.96E+04	1962066567.2072	82.4115355058	5.96E+04	1962066567.2072
77.4478005502	1.31E+05	1976535339.2073	1.07E+07	1.31E+05	1976535339.2073	703.9438263182	1.31E+05	1976535339.2073
3.9715463556	5.86E+02	1979087432.1696	99.4125971368	5.86E+02	1979087432.1696	162.6980005399	5.86E+02	1979087432.1696
