names            s            l            betx         bety         dx           dy          
MO.29R6.B2         18.059e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.30R6.B2         18.112e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.31R6.B2         18.166e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.32R6.B2         18.219e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.33R6.B2         18.273e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.34R6.B2         18.326e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.33L7.B2         18.379e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.32L7.B2         18.433e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.31L7.B2         18.486e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.30L7.B2         18.540e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.29L7.B2         18.593e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.28L7.B2         18.647e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.26L7.B2         18.754e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.25L7.B2         18.807e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.24L7.B2         18.860e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.22L7.B2         18.967e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.22R7.B2         21.017e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.24R7.B2         21.124e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.25R7.B2         21.178e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.26R7.B2         21.231e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.28R7.B2         21.338e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.29R7.B2         21.391e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.30R7.B2         21.445e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.31R7.B2         21.498e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.32R7.B2         21.552e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.33R7.B2         21.605e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.34R7.B2         21.659e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.33L8.B2         21.712e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.32L8.B2         21.766e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.31L8.B2         21.819e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.30L8.B2         21.872e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.29L8.B2         21.926e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.28L8.B2         21.979e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.26L8.B2         22.086e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.25L8.B2         22.140e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.24L8.B2         22.193e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.22L8.B2         22.300e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.22R8.B2         24.349e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.24R8.B2         24.456e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.25R8.B2         24.510e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.26R8.B2         24.563e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.28R8.B2         24.670e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.29R8.B2         24.723e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.30R8.B2         24.777e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.31R8.B2         24.830e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.32R8.B2         24.884e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.33R8.B2         24.937e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.34R8.B2         24.991e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.33L1.B2         25.044e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.32L1.B2         25.098e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.31L1.B2         25.151e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.30L1.B2         25.204e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.29L1.B2         25.258e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.28L1.B2         25.311e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.26L1.B2         25.418e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.25L1.B2         25.472e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.24L1.B2         25.525e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.22L1.B2         25.632e+03  320.000e-03   32.560      176.030        1.080        0.       
