names            s            l            betx         bety         dx           dy          
MO.24R7.B1         21.124e+03  320.000e-03   30.064      178.789        1.073      340.502e-03
MO.25R7.B1         21.178e+03  320.000e-03  175.459       33.583        2.235       93.933e-03
MO.26R7.B1         21.231e+03  320.000e-03   30.064      178.789        1.017      -45.701e-03
MO.28R7.B1         21.338e+03  320.000e-03   30.064      178.789      875.807e-03 -344.478e-03
MO.29R7.B1         21.391e+03  320.000e-03  175.459       33.583        1.786     -103.730e-03
MO.30R7.B1         21.445e+03  320.000e-03   30.064      178.789      955.955e-03   15.732e-03
MO.31R7.B1         21.498e+03  320.000e-03  175.459       33.583        2.160      103.585e-03
MO.32R7.B1         21.552e+03  320.000e-03   30.064      178.789        1.084      345.847e-03
MO.33R7.B1         21.605e+03  320.000e-03  175.459       33.583        2.187      112.742e-03
MO.34R7.B1         21.659e+03  320.000e-03   30.064      178.789      981.793e-03   14.357e-03
MO.33L8.B1         21.712e+03  320.000e-03  175.459       33.583        1.808      -93.777e-03
MO.32L8.B1         21.766e+03  320.000e-03   30.064      178.789      871.432e-03 -344.598e-03
MO.31L8.B1         21.819e+03  320.000e-03  175.459       33.583        1.845     -120.900e-03
MO.30L8.B1         21.873e+03  320.000e-03   30.064      178.789      991.871e-03  -44.336e-03
MO.29L8.B1         21.926e+03  320.000e-03  175.459       33.583        2.218       83.258e-03
MO.28L8.B1         21.979e+03  320.000e-03   30.064      178.789        1.082      340.741e-03
MO.26L8.B1         22.086e+03  320.000e-03   30.064      178.789      946.166e-03   73.980e-03
MO.25L8.B1         22.140e+03  320.000e-03  175.459       33.583        1.762      -72.110e-03
MO.24L8.B1         22.193e+03  320.000e-03   30.064      178.789      879.171e-03 -334.304e-03
MO.22L8.B1         22.300e+03  320.000e-03   30.064      178.789        1.026     -103.064e-03
MO.22R8.B1         24.349e+03  320.000e-03  175.443       33.586        1.811       82.111e-03
MO.24R8.B1         24.456e+03  320.000e-03  175.443       33.586        2.156      130.121e-03
MO.25R8.B1         24.510e+03  320.000e-03   30.066      178.776        1.075       79.228e-03
MO.26R8.B1         24.563e+03  320.000e-03  175.443       33.586        2.162      -70.761e-03
MO.28R8.B1         24.670e+03  320.000e-03  175.443       33.586        1.816     -136.293e-03
MO.29R8.B1         24.723e+03  320.000e-03   30.066      178.776      880.882e-03 -108.478e-03
MO.30R8.B1         24.777e+03  320.000e-03  175.443       33.586        1.869       58.873e-03
