        Frequency / GHz                Y140mm/imaginary
              0.15153934                      -1.0196768
              0.15205129                      -1.0807791
              0.15256325                       -1.126491
              0.15307521                      -1.1547974
              0.15358716                      -1.1644866
              0.15409912                      -1.1552021
              0.15461108                      -1.1274558
              0.15512304                      -1.0826014
              0.15563499                      -1.0227689
              0.15614695                     -0.95076487
              0.15665891                     -0.86994143
              0.15717086                     -0.78404128
              0.15768282                     -0.69702529
              0.15819478                      -0.6128908
              0.15870674                     -0.53548896
              0.15921869                     -0.46834934
              0.15973065                      -0.4145199
              0.16024261                     -0.37642948
              0.16075457                     -0.35577908
              0.16126652                     -0.35346665
              0.16177848                     -0.36954892
              0.16229044                     -0.40324168
              0.16280239                     -0.45295844
              0.16331435                     -0.51638569
              0.16382631                     -0.59059092
              0.16433827                     -0.67215876
              0.16485022                     -0.75734848
              0.16536218                     -0.84226606
              0.16587414                     -0.92304251
              0.16638609                     -0.99601059
              0.16689805                      -1.0578717
              0.16741001                      -1.1058455
              0.16792197                      -1.1377952
              0.16843392                      -1.1523233
              0.16894588                      -1.1488332
              0.16945784                      -1.1275539
              0.16996979                      -1.0895271
              0.17048175                      -1.0365573
              0.17099371                     -0.97112688
              0.17150567                     -0.89628078
              0.17201762                     -0.81548571
              0.17252958                     -0.73247048
              0.17304154                     -0.65105484
               0.1735535                     -0.57497467
              0.17406545                     -0.50771144
              0.17457741                     -0.45233384
              0.17508937                     -0.41135861
              0.17560132                     -0.38663703
              0.17611328                      -0.3792721
              0.17662524                     -0.38957012
               0.1771372                     -0.41702877
              0.17764915                     -0.46036222
              0.17816111                     -0.51756191
              0.17867307                     -0.58599024
              0.17918502                     -0.66250272
              0.17969698                     -0.74359302
              0.18020894                     -0.82555415
               0.1807209                     -0.90464842
              0.18123285                     -0.97727841
              0.18174481                      -1.0401511
              0.18225677                      -1.0904276
              0.18276873                      -1.1258521
              0.18328068                      -1.1448535
              0.18379264                      -1.1466156
               0.1843046                      -1.1311128
              0.18481655                      -1.0991094
              0.18532851                      -1.0521229
              0.18584047                     -0.99235329
              0.18635243                     -0.92258023
              0.18686438                     -0.84603534
              0.18737634                     -0.76625314
               0.1878883                      -0.6869089
              0.18840025                     -0.61165018
              0.18891221                     -0.54393014
              0.18942417                     -0.48685003
              0.18993613                       -0.443018
              0.19044808                     -0.41443088
              0.19096004                     -0.40238399
                0.191472                     -0.40741335
              0.19198396                     -0.42927253
              0.19249591                     -0.46694548
              0.19300787                     -0.51869443
              0.19351983                     -0.58214069
              0.19403178                     -0.65437466
              0.19454374                     -0.73208987
               0.1950557                      -0.8117349
              0.19556766                     -0.88967632
              0.19607961                     -0.96236497
              0.19659157                      -1.0264983
              0.19710353                      -1.0791707
              0.19761548                      -1.1180063
              0.19812744                      -1.1412664
               0.1986394                      -1.1479278
              0.19915136                       -1.137729
              0.19966331                      -1.1111806
              0.20017527                      -1.0695407
              0.20068723                      -1.0147565
              0.20119918                     -0.94937375
              0.20171114                     -0.87641979
               0.2022231                     -0.79926405
              0.20273506                     -0.72146351
              0.20324701                     -0.64659967
              0.20375897                     -0.57811462
              0.20427093                     -0.51915376
              0.20478289                     -0.47242226
              0.20529484                     -0.44006188
               0.2058068                     -0.42355371
              0.20631876                     -0.42365123
              0.20683071                      -0.4403468
              0.20734267                      -0.4728729
              0.20785463                     -0.51973825
              0.20836659                      -0.5787969
              0.20887854                      -0.6473472
               0.2093905                     -0.72225614
              0.20990246                     -0.80010313
              0.21041441                     -0.87733699
              0.21092637                      -0.9504385
              0.21143833                      -1.0160815
              0.21195029                      -1.0712849
              0.21246224                      -1.1135488
               0.2129742                      -1.1409683
              0.21348616                      -1.1523201
              0.21399812                      -1.1471182
              0.21451007                      -1.1256347
              0.21502203                      -1.0888874
              0.21553399                      -1.0385921
              0.21604594                     -0.97708342
               0.2165579                     -0.90720766
              0.21706986                     -0.83219184
              0.21758182                     -0.75549577
              0.21809377                     -0.68065347
              0.21860573                     -0.61111131
              0.21911769                     -0.55007034
              0.21962964                     -0.50033991
               0.2201416                      -0.4642094
              0.22065356                     -0.44334372
              0.22116552                     -0.43870756
              0.22167747                     -0.45052169
              0.22218943                     -0.47825335
              0.22270139                      -0.5206411
              0.22321335                     -0.57575302
               0.2237253                     -0.64107556
              0.22423726                     -0.71362898
              0.22474922                       -0.790104
              0.22526117                      -0.8670135
              0.22577313                     -0.94085228
              0.22628509                      -1.0082576
              0.22679705                      -1.0661629
                0.227309                      -1.1119384
              0.22782096                      -1.1435111
              0.22833292                      -1.1594595
              0.22884487                      -1.1590782
              0.22935683                      -1.1424107
              0.22986879                       -1.110246
              0.23038075                      -1.0640833
               0.2308927                      -1.0060625
              0.23140466                     -0.93886598
              0.23191662                     -0.86559604
              0.23242857                     -0.78963234
              0.23294053                     -0.71447722
              0.23345249                     -0.64359525
              0.23396445                     -0.58025458
               0.2344764                      -0.5273773
              0.23498836                     -0.48740569
              0.23550032                     -0.46219039
              0.23601228                      -0.4529058
              0.23652423                     -0.45999632
              0.23703619                     -0.48315606
              0.23754815                     -0.52134295
               0.2380601                     -0.57282645
              0.23857206                      -0.6352669
              0.23908402                     -0.70582268
              0.23959598                     -0.78128031
              0.24010793                     -0.85820171
              0.24061989                     -0.93308163
              0.24113185                      -1.0025082
               0.2416438                      -1.0633193
              0.24215576                      -1.1127472
              0.24266772                      -1.1485457
              0.24317968                      -1.1690928
              0.24369163                      -1.1734653
              0.24420359                       -1.161481
              0.24471555                      -1.1337075
              0.24522751                       -1.091436
              0.24573946                      -1.0366225
              0.24625142                      -0.9717981
              0.24676338                     -0.89995371
              0.24727533                     -0.82440265
              0.24778729                     -0.74862917
              0.24829925                     -0.67612885
              0.24881121                     -0.61024846
              0.24932316                     -0.55403258
              0.24983512                       -0.510084
              0.25034708                      -0.4804443
              0.25085903                     -0.46650013
              0.25137099                     -0.46891936
              0.25188295                     -0.48762022
              0.25239491                     -0.52177465
              0.25290686                     -0.56984598
              0.25341882                     -0.62965891
              0.25393078                     -0.69849893
              0.25444274                     -0.77323638
              0.25495469                     -0.85046963
              0.25546665                     -0.92668083
              0.25597861                     -0.99839699
              0.25649056                      -1.0623492
              0.25700252                      -1.1156224
              0.25751448                      -1.1557894
              0.25802644                      -1.1810224
              0.25853839                      -1.1901767
              0.25905035                      -1.1828442
              0.25956231                      -1.1593723
              0.26007426                      -1.1208487
              0.26058622                      -1.0690516
              0.26109818                      -1.0063694
              0.26161014                     -0.93569138
              0.26212209                     -0.86027549
              0.26263405                     -0.78359968
              0.26314601                      -0.7092025
              0.26365796                     -0.64052102
              0.26416992                     -0.58073323
              0.26468188                     -0.53261216
              0.26519384                     -0.49839846
              0.26570579                      -0.4796972
              0.26621775                     -0.47740374
              0.26672971                     -0.49166208
              0.26724167                     -0.52185748
              0.26775362                     -0.56664397
              0.26826558                     -0.62400531
              0.26877754                     -0.69134672
              0.26928949                     -0.76561326
              0.26980145                     -0.84342936
              0.27031341                     -0.92125323
              0.27082537                       -0.995539
              0.27133732                      -1.0628993
              0.27184928                      -1.1202606
              0.27236124                      -1.1650045
              0.27287319                      -1.1950883
              0.27338515                      -1.2091394
              0.27389711                      -1.2065186
              0.27440907                      -1.1873507
              0.27492102                      -1.1525193
              0.27543298                      -1.1036276
              0.27594494                      -1.0429255
               0.2764569                     -0.97320737
              0.27696885                     -0.89768457
              0.27748081                     -0.81983884
              0.27799277                     -0.74326298
              0.27850472                     -0.67149628
              0.27901668                     -0.60786223
              0.27952864                     -0.55531586
               0.2800406                     -0.51630772
              0.28055255                     -0.49267092
              0.28106451                     -0.48553619
              0.28157647                     -0.49527906
              0.28208842                     -0.52150161
              0.28260038                     -0.56304956
              0.28311234                     -0.61806415
               0.2836243                     -0.68406631
              0.28413625                      -0.7580694
              0.28464821                     -0.83671541
              0.28516017                     -0.91642834
              0.28567213                     -0.99357789
              0.28618408                      -1.0646457
              0.28669604                      -1.1263871
                0.287208                      -1.1759799
              0.28771995                       -1.211155
              0.28823191                      -1.2303007
              0.28874387                      -1.2325383
              0.28925583                      -1.2177631
              0.28976778                      -1.1866508
              0.29027974                      -1.1406274
               0.2907917                      -1.0818057
              0.29130365                      -1.0128889
              0.29181561                     -0.93704814
              0.29232757                     -0.85777774
              0.29283953                      -0.7787354
              0.29335148                      -0.7035749
              0.29386344                     -0.63577847
               0.2943754                     -0.57849685
              0.29488735                     -0.53440413
              0.29539931                     -0.50557433
              0.29591127                      -0.4933851
              0.29642323                     -0.49845335
              0.29693518                     -0.52060547
              0.29744714                     -0.55888382
               0.2979591                     -0.61158921
              0.29847106                     -0.67635736
              0.29898301                     -0.75026608
              0.29949497                      -0.8299682
              0.30000693                     -0.91184427
              0.30051888                       -0.992168
              0.30103084                       -1.067277
               0.3015428                      -1.1337408
              0.30205476                      -1.1885187
              0.30256671                      -1.2291001
              0.30307867                      -1.2536207
              0.30359063                      -1.2609491
              0.30410258                      -1.2507406
              0.30461454                      -1.2234544
               0.3051265                      -1.1803344
              0.30563846                      -1.1233535
              0.30615041                      -1.0551251
              0.30666237                     -0.97878427
              0.30717433                     -0.89784505
              0.30768629                     -0.81604035
              0.30819824                     -0.73715103
               0.3087102                     -0.66483257
              0.30922216                     -0.60244716
              0.30973411                     -0.55290876
              0.31024607                     -0.51854848
              0.31075803                     -0.50100628
              0.31126999                      -0.5011542
              0.31178194                     -0.51905456
               0.3122939                     -0.55395524
              0.31280586                      -0.6043223
              0.31331781                     -0.66790853
              0.31382977                     -0.74185484
              0.31434173                     -0.82281997
              0.31485369                     -0.90713266
              0.31536564                     -0.99095925
               0.3158776                      -1.0704792
              0.31638956                      -1.1420603
              0.31690152                       -1.202426
              0.31741347                      -1.2488063
              0.31792543                      -1.2790662
              0.31843739                      -1.2918056
              0.31894934                      -1.2864245
               0.3194613                      -1.2631537
              0.31997326                      -1.2230451
              0.32048522                      -1.1679264
              0.32099717                      -1.1003191
