names            s            l            betx         bety         dx           dy          
MO.31L8.B1         21.819e+03  320.000e-03  175.459       33.583        1.849      -25.872e-03
MO.30L8.B1         21.873e+03  320.000e-03   30.064      178.789      923.518e-03   21.284e-03
MO.29L8.B1         21.926e+03  320.000e-03  175.459       33.583        1.979       36.216e-03
MO.28L8.B1         21.979e+03  320.000e-03   30.064      178.789        1.016      103.533e-03
MO.26L8.B1         22.086e+03  320.000e-03   30.064      178.789        1.026      -12.277e-03
MO.25L8.B1         22.140e+03  320.000e-03  175.459       33.583        1.995      -33.691e-03
MO.24L8.B1         22.193e+03  320.000e-03   30.064      178.789      931.754e-03 -104.601e-03
MO.22L8.B1         22.300e+03  320.000e-03   30.064      178.789      937.747e-03    3.177e-03
MO.22R8.B1         24.349e+03  320.000e-03  175.443       33.586        2.041       39.205e-03
MO.24R8.B1         24.456e+03  320.000e-03  175.443       33.586        2.000       27.347e-03
MO.25R8.B1         24.510e+03  320.000e-03   30.066      178.776      966.102e-03  -20.051e-03
MO.26R8.B1         24.563e+03  320.000e-03  175.443       33.586        1.959      -36.819e-03
MO.28R8.B1         24.670e+03  320.000e-03  175.443       33.586        2.006      -30.558e-03
MO.29R8.B1         24.723e+03  320.000e-03   30.066      178.776      991.617e-03   10.718e-03
MO.30R8.B1         24.777e+03  320.000e-03  175.443       33.586        2.040       34.154e-03
MO.31R8.B1         24.830e+03  320.000e-03   30.066      178.776      986.831e-03  107.937e-03
MO.32R8.B1         24.884e+03  320.000e-03  175.443       33.586        1.987       33.537e-03
MO.33R8.B1         24.937e+03  320.000e-03   30.066      178.776      962.693e-03   -1.304e-03
MO.34R8.B1         24.991e+03  320.000e-03  175.443       33.586        1.962      -31.229e-03
MO.33L1.B1         25.044e+03  320.000e-03   30.066      178.776      971.560e-03 -108.051e-03
MO.32L1.B1         25.098e+03  320.000e-03  175.443       33.586        2.020      -36.261e-03
MO.31L1.B1         25.151e+03  320.000e-03   30.066      178.776      994.199e-03   -8.121e-03
MO.30L1.B1         25.204e+03  320.000e-03  175.443       33.586        2.034       28.066e-03
MO.29L1.B1         25.258e+03  320.000e-03   30.066      178.776      981.504e-03  107.343e-03
MO.28L1.B1         25.311e+03  320.000e-03  175.443       33.586        1.974       38.709e-03
MO.26L1.B1         25.418e+03  320.000e-03  175.443       33.586        1.970      -24.690e-03
MO.25L1.B1         25.472e+03  320.000e-03   30.066      178.776      977.172e-03 -105.818e-03
MO.24L1.B1         25.525e+03  320.000e-03  175.443       33.586        2.030      -40.863e-03
MO.22L1.B1         25.632e+03  320.000e-03  175.443       33.586        2.025       21.126e-03
